language,text,category,number
en,She took off her shoes.,Travel,114
en,She's going to buy some shoes.,Travel,115
en,She said her shoes were too small.,Travel,116
en,She had ice cream.,Travel,117
en,She included breakfast in her meal.,Travel,118
en,She had a cup of coffee in the morning.,Travel,119
en,She looks unwell.,Travel,120
en,She's looking for a pharmacy.,Travel,121
en,She asked me to turn on the air conditioner.,Travel,122
en,She's got her travel plans all sorted out.,Travel,123
en,She changed her travel plans.,Travel,124
en,She took a lot of photos during her trip.,Travel,125
en,She said she was disappointed that the trip was over.,Travel,126
en,She said she had a really great time on the trip.,Travel,127
en,She's really enjoying her trip.,Travel,128
en,She walked to the station.,Travel,129
en,She's thinking of extending her stay.,Travel,130
en,She would like to have an English guide.,Travel,131
en,She'd love to go to the night market tonight.,Travel,132
en,She looks exhausted today.,Travel,133
en,She listened to the audio guide.,Travel,134
en,She took a tour of the old castle.,Travel,135
en,She adjusted the temperature.,Travel,136
en,She's changing into some clothes.,Travel,137
en,She returned the clothes for a refund.,Travel,138
en,She'd like to exchange it for euros.,Travel,139
en,She's eager to visit famous places.,Travel,140
en,She asked to have her food packed to go.,Travel,141
en,She listened to music.,Travel,142
en,She consulted with a doctor.,Travel,143
en,She's already here.,Travel,144
en,She's checked her seat.,Travel,145
en,She has a dinner appointment.,Travel,146
en,She chose a room with a great view.,Travel,147
en,She was deeply moved by the exhibition.,Travel,148
en,She's craving traditional food.,Travel,149
en,She picked up a shell.,Travel,150
en,She'd like to switch seats.,Travel,151
en,Her wallet was stolen.,Travel,152
en,She's using a map app.,Travel,153
en,She'd like to have a cup of tea.,Travel,154
en,She returned the car.,Travel,155
en,She'd like a window seat.,Travel,156
en,She'd like a seat by the window.,Travel,157
en,She sat by the window.,Travel,158
en,She snapped a photo of the view outside the window.,Travel,159
en,She's a vegetarian.,Travel,160
en,She's waiting to check in.,Travel,161
en,She cherishes her memories.,Travel,162
en,She danced along to the music.,Travel,163
en,She lent me her charger.,Travel,164
en,She's lost her charger.,Travel,165
en,She wanted to cancel it.,Travel,166
en,She's going to meet up with her friend.,Travel,167
en,She paid with a card.,Travel,168
en,Can she use a card?,Travel,169
en,She only uses cards.,Travel,170
en,She said she wanted a cup of coffee.,Travel,171
en,She showed the taxi driver her address.,Travel,172
en,She hailed a taxi.,Travel,173
en,She got out of the taxi and walked to her accommodation.,Travel,174
en,She's already bought her ticket.,Travel,175
en,She left a tip.,Travel,176
en,She sent a letter.,Travel,177
en,She asked the front desk.,Travel,178
en,She strolled along the beach.,Travel,179
en,She went to the local market.,Travel,180
en,She's craving some local cuisine.,Travel,181
en,She's on the lookout for a currency exchange.,Travel,182
en,She's finished exchanging her money.,Travel,183
en,He went before the store closed.,Travel,184
en,He listened carefully to the guide's explanation.,Travel,185
en,He watched a street performance.,Travel,186
en,He paid first.,Travel,187
en,He went to the counter.,Travel,188
en,He arrived at the airport on the shuttle.,Travel,189
en,He bought a ticket for the sightseeing bus.,Travel,190
en,He recharged his transportation card.,Travel,191
en,He said the broth was scorching hot.,Travel,192
en,How long did he stay at the museum?,Travel,193
en,He's looking for a nearby café.,Travel,194
en,He asked for a non-smoking room.,Travel,195
en,He's finished his in-flight meal.,Travel,196
en,He bought a souvenir.,Travel,197
en,He bought a souvenir.,Travel,198
en,He tidied up the souvenirs.,Travel,199
en,He's got his souvenirs.,Travel,200
en,He almost missed his train.,Travel,201
en,He watched a street performance.,Travel,202
en,He checked the weather.,Travel,203
en,He helped me with my luggage.,Travel,204
en,He's coming back home tomorrow.,Travel,205
en,He turned on the navigation.,Travel,206
en,He checked the route.,Travel,207
en,He had never seen snow before.,Travel,208
en,He was out late.,Travel,209
en,He overslept.,Travel,210
en,He heard that the next flight is going to be delayed.,Travel,211
en,He's planning his next trip.,Travel,212
en,He's booked a group tour.,Travel,213
en,He called the embassy.,Travel,214
en,He prefers to walk.,Travel,215
en,He was grateful to the person who had helped him.,Travel,216
en,He took a video with a drone.,Travel,217
en,He's on the hunt for a dessert cafe.,Travel,218
en,He ordered dessert.,Travel,219
en,He's drinking a warm cup of tea.,Travel,220
en,He gave me a gift on his last day.,Travel,221
en,He had a glass of mango juice.,Travel,222
en,He can recommend a menu for you.,Travel,223
en,He sent a message.,Travel,224
en,He bought perfume at a duty-free shop.,Travel,225
en,He's taking a break on the beach.,Travel,226
en,He gave the wrong address.,Travel,227
en,He's feeling much better now.,Travel,228
en,Did he lock the door?,Travel,229
en,He asked for another glass of water.,Travel,230
en,He's a big fan of museums.,Travel,231
en,He extended his stay for another day.,Travel,232
en,He has a great sense of direction.,Travel,233
en,He paid the bus fare in cash.,Travel,234
en,He's looking for a bus stop.,Travel,235
en,He paid the hospital bill.,Travel,236
en,He got caught in the rain.,Travel,237
en,He's finished his visa application.,Travel,238
en,He checked his flight ticket.,Travel,239
en,He slept soundly on the plane.,Travel,240
en,He had a little bread.,Travel,241
en,He took a lot of photos.,Travel,242
en,He bought a new outfit.,Travel,243
en,He'd love to visit a new country.,Travel,244
en,He opened his luggage at the customs.,Travel,245
en,He loves shopping.,Travel,246
en,He asked for another towel.,Travel,247
en,He doesn't know where to find his luggage.,Travel,248
en,He's lost his luggage.,Travel,249
en,He lost his luggage.,Travel,250
en,He checked his luggage into the storage compartment.,Travel,251
en,He's heading back to his accommodation.,Travel,252
en,He had breakfast at the dorm.,Travel,253
en,He used his credit card.,Travel,254
en,He hasn't arrived yet.,Travel,255
en,He's not ready yet.,Travel,256
en,He skipped breakfast.,Travel,257
en,He took his medicine.,Travel,258
en,He took his medicine.,Travel,259
en,Where did he put his passport?,Travel,260
en,He lost his luggage while traveling.,Travel,261
en,He's really enjoying his trip.,Travel,262
en,He said the trip was way too short.,Travel,263
en,He bought a postcard.,Travel,264
en,He's going to the movies.,Travel,265
en,He changed his tour plans for today.,Travel,266
en,He took a nap in the afternoon.,Travel,267
en,He asked for the Wi-Fi password.,Travel,268
en,He ordered a bottle of wine.,Travel,269
en,He's lost his driver's license.,Travel,270
en,He went to buy a drink.,Travel,271
en,He said the food was too spicy.,Travel,272
en,He's curious about the weather in this city.,Travel,273
en,He double-checked to make sure the hotel room reservation was made correctly.,Travel,274
en,He really enjoyed this vacation.,Travel,275
en,He asked if he could move to a different seat.,Travel,276
en,He'd like to take a break for a bit.,Travel,277
en,He said he had a great time.,Travel,278
en,Do you know where he is at the moment?,Travel,279
en,He asked the staff about it.,Travel,280
en,He's already checked in his luggage.,Travel,281
en,He's carrying too much luggage.,Travel,282
en,He chose the window seat.,Travel,283
en,He said the window wouldn't open.,Travel,284
en,He wanted a room with a window.,Travel,285
en,He asked what time the check-out was.,Travel,286
en,He almost missed the check-in deadline.,Travel,287
en,He's made a lot of memories.,Travel,288
en,He's on the phone with his friend.,Travel,289
en,He fell asleep right away in bed.,Travel,290
en,He asked to have his card suspended.,Travel,291
en,He's visiting Canada for the first time.,Travel,292
en,He ordered two cups of coffee.,Travel,293
en,He's looking for the gate.,Travel,294
en,He called a taxi.,Travel,295
en,Did he book a taxi?,Travel,296
en,He's going to take a taxi.,Travel,297
en,He asked for an interpreter.,Travel,298
en,He left a tip.,Travel,299
en,He told me to turn off the flash.,Travel,300
en,"Despite being tired, he's happy.",Travel,301
en,He said the sky was lovely.,Travel,302
en,He bought it with a student discount.,Travel,303
en,He used a discount coupon.,Travel,304
en,He got a discount.,Travel,305
en,He said he only takes cash.,Travel,306
en,He's out of cash.,Travel,307
en,He had a glass of local wine and was pleased with it.,Travel,308
en,He checked in on his hotel reservation.,Travel,309
en,He was warmly welcomed.,Travel,310
en,He'd like to exchange some money.,Travel,311
en,He recovered quickly.,Travel,312
en,Where is the restroom around here?,Travel,313
en,Is there a laundry nearby?,Travel,314
en,When will the in-flight meal be served?,Travel,315
en,Is Wi-Fi available on the plane?,Travel,316
en,I'd like to buy two train tickets.,Travel,317
en,"Can I change my train ticket, please?",Travel,318
en,Can you show me the way?,Travel,319
en,I've already contacted my family.,Travel,320
en,I enjoy walking.,Travel,321
en,I asked where the police station was.,Travel,322
en,I filed a report with the police.,Travel,323
en,I'm standing at the checkout counter.,Travel,324
en,I'd like to receive the invoice.,Travel,325
en,I asked for the bill.,Travel,326
en,I asked for the bill.,Travel,327
en,I asked for the bill.,Travel,328
en,I'll take care of the bill.,Travel,329
en,I don't eat meat.,Travel,330
en,I'm trying to find the location of the public restroom.,Travel,331
en,I'd love to go to the park.,Travel,332
en,I took a stroll in the park.,Travel,333
en,I'm taking a stroll through the park.,Travel,334
en,I took a stroll through the park.,Travel,335
en,I used the airport's Wi-Fi.,Travel,336
en,I'd like to take a bus to the airport.,Travel,337
en,I need to go to the airport.,Travel,338
en,I arrived at the airport a bit early.,Travel,339
en,I met a friend at the airport.,Travel,340
en,I'm heading to the airport.,Travel,341
en,I took a bus to the airport.,Travel,342
en,I'm heading to the airport.,Travel,343
en,I need to head to the airport.,Travel,344
en,I need to head to the airport.,Travel,345
en,I had a glass of fruit juice.,Travel,346
en,I'd love to go sightseeing.,Travel,347
en,I bought a tourist map.,Travel,348
en,I've recharged my transportation card.,Travel,349
en,I'm looking for a nearby restaurant.,Travel,350
en,I ordered the in-flight meal.,Travel,351
en,I'm not a fan of the in-flight meal.,Travel,352
en,I was pleasantly surprised by how good the in-flight meal was.,Travel,353
en,I'd like to buy some souvenirs.,Travel,354
en,I bought a souvenir.,Travel,355
en,I've saved my emergency contact information.,Travel,356
en,I watched a street performance.,Travel,357
en,I had street food.,Travel,358
en,I drove along the road.,Travel,359
en,I'd like to ask for directions.,Travel,360
en,I'm completely lost.,Travel,361
en,I'm completely lost.,Travel,362
en,I'm not sure which way to go.,Travel,363
en,I'm not sure which way to go.,Travel,364
en,I took a wrong turn.,Travel,365
en,I checked the weather.,Travel,366
en,I'm leaving tomorrow.,Travel,367
en,I'm planning to leave tomorrow.,Travel,368
en,I'd love to take a walk tomorrow.,Travel,369
en,I'm planning to go shopping tomorrow.,Travel,370
en,I need to get up early tomorrow morning.,Travel,371
en,I have to get up early tomorrow.,Travel,372
en,I'm leaving early tomorrow.,Travel,373
en,I'm heading back home tomorrow.,Travel,374
en,I bought a magnet for the fridge.,Travel,375
en,I put the food in the fridge.,Travel,376
en,I'm feeling extremely exhausted and could really use a break.,Travel,377
en,I pulled out my laptop.,Travel,378
en,I'd love to head back to the dorm.,Travel,379
en,I'd love to come back.,Travel,380
en,I'd love to come back.,Travel,381
en,I'd love to come back here again.,Travel,382
en,I'm heading to my next destination.,Travel,383
en,I've already started planning my next trip.,Travel,384
en,I'm really looking forward to my next trip.,Travel,385
en,I'll get off at the next stop.,Travel,386
en,I'm not a fan of hot weather.,Travel,387
en,I'm not very good at withstanding the heat.,Travel,388
en,I thought the city's night view was lovely.,Travel,389
en,I'll take a taxi when I arrive.,Travel,390
en,I felt great on my way back.,Travel,391
en,I recorded it on video.,Travel,392
en,This is my second trip.,Travel,393
en,I have a terrible headache.,Travel,394
en,I'd love to take a look at the dessert menu.,Travel,395
en,I also ordered some desserts.,Travel,396
en,I've booked a rental car.,Travel,397
en,I ordered room service.,Travel,398
en,I think it's a bit too salty.,Travel,399
en,I'm a big fan of spicy food.,Travel,400
en,I'm craving something mild.,Travel,401
en,I'm checking out the menu.,Travel,402
en,I'd like to take a closer look at the menu.,Travel,403
en,I bought a gift at the duty-free shop.,Travel,404
en,I bought perfume at the duty-free shop.,Travel,405
en,I had a blast building sandcastles.,Travel,406
en,I asked how long it would take to get to the destination.,Travel,407
en,I gave the wrong address.,Travel,408
en,I've arrived at my destination.,Travel,409
en,I made it safely.,Travel,410
en,"Can I have a bottle of water, please.",Travel,411
en,I've lost something.,Travel,412
en,I ordered a glass of water.,Travel,413
en,I took a photo of the sea.,Travel,414
en,I think the sea is truly beautiful.,Travel,415
en,I prefer the market to the museum.,Travel,416
en,I'd love to visit the museum.,Travel,417
en,I felt like the outside was really noisy at night.,Travel,418
en,I picked up my room key at the reception.,Travel,419
en,I told them there are a lot of mosquitoes in the room.,Travel,420
en,I'd like to change my room to a quieter spot.,Travel,421
en,I asked them to clean the room.,Travel,422
en,I turned on the air conditioner because the room was too hot.,Travel,423
en,I missed the bus.,Travel,424
en,I checked the bus schedule.,Travel,425
en,I checked the bus schedule.,Travel,426
en,I prefer to travel by bus.,Travel,427
en,I missed the bus.,Travel,428
en,I'd love to take the bus.,Travel,429
en,I found the translation a bit off.,Travel,430
en,I took a break on the bench.,Travel,431
en,I took a break on the bench.,Travel,432
en,I've made a hospital appointment.,Travel,433
en,I paid my hospital bill with my credit card.,Travel,434
en,I need to go to the hospital.,Travel,435
en,I went to hospital.,Travel,436
en,I need to go to the hospital.,Travel,437
en,I lent him a spare battery.,Travel,438
en,I have insurance.,Travel,439
en,I called the lost and found center.,Travel,440
en,I posted a blog entry.,Travel,441
en,I'm worried it might rain.,Travel,442
en,I bought an umbrella because it was raining.,Travel,443
en,I know what time the flight is scheduled to depart.,Travel,444
en,I double-checked the flight schedule.,Travel,445
en,I checked the flight schedule.,Travel,446
en,I watched a movie on the plane.,Travel,447
en,I have trouble sleeping on planes.,Travel,448
en,I have trouble sleeping on planes.,Travel,449
en,I read a book on the plane.,Travel,450
en,I'm a fan of sitting by the window on a plane.,Travel,451
en,I double-checked my flight ticket.,Travel,452
en,I've booked a flight ticket.,Travel,453
en,I watched a movie on the plane.,Travel,454
en,I've booked my flight.,Travel,455
en,I've lost my plane ticket.,Travel,456
en,I had to reissue my flight ticket.,Travel,457
en,I don't fit.,Travel,458
en,I'd like to change the size.,Travel,459
en,I took a lot of photos.,Travel,460
en,I had my photo printed.,Travel,461
en,I'm sorting through my photos.,Travel,462
en,I'd love to take a photo.,Travel,463
en,Can I take a photo?,Travel,464
en,I've tried a new flavor.,Travel,465
en,I really enjoyed the salad.,Travel,466
en,I'll go ahead and take a shower first.,Travel,467
en,My shower is out of order.,Travel,468
en,I'd like to take a shower.,Travel,469
en,I'll take a shower and then go to bed.,Travel,470
en,I asked them to gift-wrap it for me.,Travel,471
en,I've applied sunscreen.,Travel,472
en,I've filled out the customs declaration form.,Travel,473
en,I've been stuck in customs for ages.,Travel,474
en,I'd like to make a transfer.,Travel,475
en,I'm heading to the shopping mall.,Travel,476
en,I'm going to the mall.,Travel,477
en,I went to the shopping mall.,Travel,478
en,"I'd like to ask for some more towels, please.",Travel,479
en,I'm curious about the commission.,Travel,480
en,I'd like to check in my luggage.,Travel,481
en,I'm going to look for my luggage.,Travel,482
en,I showed them my accommodation reservation confirmation.,Travel,483
en,I checked the location of the accommodation on the map.,Travel,484
en,I've taken note of the accommodation address.,Travel,485
en,I need to head back to the dorm.,Travel,486
en,I'm back at the dorm.,Travel,487
en,I'm heading to my accommodation.,Travel,488
en,I've moved into the dorm.,Travel,489
en,I'd love to go to the market.,Travel,490
en,I bought some snacks at the market.,Travel,491
en,I'd love to check out the market.,Travel,492
en,I've made a reservation at the restaurant.,Travel,493
en,I need to find my shoes.,Travel,494
en,I checked my credit card limit.,Travel,495
en,I had an iced Americano.,Travel,496
en,I'm craving ice cream.,Travel,497
en,I skipped breakfast and came out.,Travel,498
en,I want breakfast.,Travel,499
en,I'm back safely.,Travel,500
en,I've set my alarm.,Travel,501
en,I saw the night view.,Travel,502
en,I went to the night market.,Travel,503
en,I went to the pharmacy.,Travel,504
en,I'm looking for a pharmacy.,Travel,505
en,I've been prescribed some medication.,Travel,506
en,I visited all the tourist spots yesterday.,Travel,507
en,I was freezing yesterday.,Travel,508
en,I sent a message to my mom.,Travel,509
en,I left my passport at home.,Travel,510
en,I'd like to visit the museum around here.,Travel,511
en,I've taken out travel insurance.,Travel,512
en,I'm halfway through my trip.,Travel,513
en,I'm gathering travel information.,Travel,514
en,I'm really enjoying my trip.,Travel,515
en,My trip is almost over.,Travel,516
en,I'm feeling a bit disappointed that the trip is over.,Travel,517
en,I had a really great time on my trip.,Travel,518
en,I've signed up for travel insurance.,Travel,519
en,I have travel insurance.,Travel,520
en,I sent a postcard.,Travel,521
en,I have my reservation number with me.,Travel,522
en,I'd like to make a reservation.,Travel,523
en,I'm heading to the restaurant I've already booked.,Travel,524
en,I made plans for a trip today.,Travel,525
en,I'm planning to visit a tourist spot today.,Travel,526
en,I'm planning to go sightseeing today.,Travel,527
en,I'm feeling great today.,Travel,528
en,I walked too much today.,Travel,529
en,I had a fantastic time today.,Travel,530
en,I was incredibly happy today.,Travel,531
en,I'm flying out tonight.,Travel,532
en,I have to take a flight today.,Travel,533
en,I'm planning to go shopping today.,Travel,534
en,My schedule is packed today.,Travel,535
en,I borrowed an audio guide.,Travel,536
en,I have to take the bus in the afternoon.,Travel,537
en,I wore light clothing.,Travel,538
en,I'd love to try on some clothes.,Travel,539
en,I asked for the Wi-Fi password.,Travel,540
en,I ordered a bottle of wine.,Travel,541
en,I had a glass of wine.,Travel,542
en,I need to go to the post office.,Travel,543
en,I stuck on a stamp.,Travel,544
en,I have a driver's license.,Travel,545
en,I went to the bank.,Travel,546
en,My food hasn't arrived yet.,Travel,547
en,I'm listening to music.,Travel,548
en,I absolutely loved the music.,Travel,549
en,I'd like to consult with a doctor.,Travel,550
en,I talked to the doctor.,Travel,551
en,I really like this city.,Travel,552
en,I learned a lot from this trip.,Travel,553
en,I really enjoyed this trip.,Travel,554
en,I really enjoyed this trip.,Travel,555
en,I'm writing in my diary.,Travel,556
en,I think the sunset is truly breathtaking.,Travel,557
en,I'd like to go to bed early.,Travel,558
en,I've filled out the arrival card.,Travel,559
en,I've filled out the arrival card.,Travel,560
en,I've filled out the arrival card.,Travel,561
en,I've cleared immigration.,Travel,562
en,I bought my ticket in advance.,Travel,563
en,I bought a ticket.,Travel,564
en,I borrowed a bike.,Travel,565
en,I'd like to take a break for a bit.,Travel,566
en,I watched the sunset.,Travel,567
en,I'm choosing my dinner menu.,Travel,568
en,I'm planning to take a walk in the evening.,Travel,569
en,I'd like to take it easy in the evening.,Travel,570
en,I'm looking for an electrical outlet.,Travel,571
en,I took a photo from the observation deck.,Travel,572
en,The exhibition really made an impression on me.,Travel,573
en,I had lunch nearby.,Travel,574
en,I asked the salesperson.,Travel,575
en,I'd like to have breakfast.,Travel,576
en,I'd like a room that comes with breakfast.,Travel,577
en,I've made some wonderful memories.,Travel,578
en,I'd like to switch seats.,Travel,579
en,I have to wait in line.,Travel,580
en,I've just arrived at the airport.,Travel,581
en,I'm starving right now.,Travel,582
en,I'm currently using a map app.,Travel,583
en,I'm looking at the map.,Travel,584
en,I looked up the subway route.,Travel,585
en,I checked the subway route.,Travel,586
en,I studied the subway system.,Travel,587
en,I'd love to take the subway.,Travel,588
en,I've finished checking my luggage.,Travel,589
en,I'd like to check my luggage and leave.,Travel,590
en,I packed my luggage ahead of time.,Travel,591
en,I left my luggage in the room.,Travel,592
en,I'd like a window seat.,Travel,593
en,I'm a fan of sitting by the window.,Travel,594
en,I'd like to open the window.,Travel,595
en,I'd like to extend my checkout time.,Travel,596
en,I've checked out.,Travel,597
en,I'd like to check in.,Travel,598
en,I'd like to check in.,Travel,599
en,I attended the festival.,Travel,600
en,I've completed my departure check-in.,Travel,601
en,I'm waiting in line for immigration.,Travel,602
en,I'm meeting up with a friend.,Travel,603
en,I really loved how soft the bed was.,Travel,604
en,The bed wasn't very comfortable for me.,Travel,605
en,I'll pay with my card.,Travel,606
en,I paid with my card.,Travel,607
en,I've returned the card key.,Travel,608
en,I'm on the lookout for a cafe.,Travel,609
en,I'd love to take a break at a cafe.,Travel,610
en,I'd love to take a break at the cafe for a bit.,Travel,611
en,I had a cup of coffee at the cafe.,Travel,612
en,I'll close the curtains and go to bed.,Travel,613
en,I had two cups of coffee.,Travel,614
en,I asked for a refill on my coffee.,Travel,615
en,I'd love a cup of coffee.,Travel,616
en,I'm waiting while sipping my coffee.,Travel,617
en,I'd like to get a coffee to go.,Travel,618
en,I'd love another cup of coffee.,Travel,619
en,I've already booked my concert tickets.,Travel,620
en,I checked the boarding time.,Travel,621
en,I'm curious about the boarding time.,Travel,622
en,I've lost my taxi receipt.,Travel,623
en,I need to call a taxi.,Travel,624
en,I need to book a taxi.,Travel,625
en,I need to take a taxi.,Travel,626
en,I bought a T-shirt.,Travel,627
en,I left a tip.,Travel,628
en,I dropped my fork.,Travel,629
en,I had already booked my ticket in advance.,Travel,630
en,I've lost my ticket.,Travel,631
en,I've lost my ticket.,Travel,632
en,I'm absolutely loving the scenery.,Travel,633
en,I'm feeling really exhausted and just want to take a break.,Travel,634
en,I slept early because I was tired.,Travel,635
en,"I was feeling exhausted, so I closed my eyes for a moment.",Travel,636
en,I'd love to go to the beach.,Travel,637
en,I went swimming at the beach.,Travel,638
en,I'll pay in cash.,Travel,639
en,I paid in cash.,Travel,640
en,I have some cash on me.,Travel,641
en,I withdrew some cash.,Travel,642
en,I need to exchange some cash.,Travel,643
en,I chatted with the locals.,Travel,644
en,I gave local food a try.,Travel,645
en,I asked a local for directions.,Travel,646
en,I found a restaurant near the hotel.,Travel,647
en,I had a blast at the hotel pool.,Travel,648
en,I've checked my hotel reservation.,Travel,649
en,I really enjoyed the hotel breakfast.,Travel,650
en,I checked the hotel's address.,Travel,651
en,I checked into the hotel.,Travel,652
en,I'd love to walk to the hotel.,Travel,653
en,I need to head to the hotel.,Travel,654
en,I'm checking into the hotel.,Travel,655
en,I had already booked a hotel room in advance.,Travel,656
en,I'd like to get a refund.,Travel,657
en,I'd like a refund.,Travel,658
en,I think the exchange rate is way too high.,Travel,659
en,I'm looking for a currency exchange.,Travel,660
en,I need to exchange more money.,Travel,661
en,I need to charge my phone.,Travel,662
en,The weather is nice today.,Travel,663
en,Have you looked at the guidebook?,Travel,664
en,Are you feeling under the weather?,Travel,665
en,Can you help me with the bill?,Travel,666
en,What time are you planning to arrive at the airport?,Travel,667
en,Did you arrive at the airport early?,Travel,668
en,Have you looked at the tourist map?,Travel,669
en,Do you think that magnet is pretty?,Travel,670
en,Did you buy any souvenirs?,Travel,671
en,Can you wait for me?,Travel,672
en,Did you dream?,Travel,673
en,Do you want to travel with me again?,Travel,674
en,Do you think the weather is nice?,Travel,675
en,Are you leaving tomorrow?,Travel,676
en,What time do you plan to wake up tomorrow?,Travel,677
en,What time are you planning to wake up tomorrow?,Travel,678
en,What are your plans for tomorrow?,Travel,679
en,Are you extremely tired?,Travel,680
en,Can you use the navigation system?,Travel,681
en,Do you want to come back again?,Travel,682
en,Are you planning to come back again?,Travel,683
en,Can you print it out again?,Travel,684
en,Do you know when the next bus is coming?,Travel,685
en,Are you waiting for the next bus?,Travel,686
en,Do you have any plans for your next trip?,Travel,687
en,Do you know the embassy's phone number?,Travel,688
en,Are you connected to the data?,Travel,689
en,Do you enjoy hiking?,Travel,690
en,Do you want to have dessert?,Travel,691
en,Did you order dessert?,Travel,692
en,Did you call the reception?,Travel,693
en,What are you planning to do on your last day?,Travel,694
en,How was the taste?,Travel,695
en,Do you like spicy food?,Travel,696
en,What did you choose to eat?,Travel,697
en,Do you want to take a break first?,Travel,698
en,Can you choose a menu?,Travel,699
en,Have you looked at the menu?,Travel,700
en,Have you decided on the menu?,Travel,701
en,What did you buy at the duty-free shop?,Travel,702
en,Are you interested in checking out the duty-free shop?,Travel,703
en,What time is your flight?,Travel,704
en,What time are you planning to go?,Travel,705
en,Did you bring a hat?,Travel,706
en,Did you check the weight?,Travel,707
en,Did you drink any water?,Travel,708
en,Can you get me some water?,Travel,709
en,What do you feel like eating?,Travel,710
en,What do you want to buy?,Travel,711
en,What do you want to buy?,Travel,712
en,Don't your feet hurt?,Travel,713
en,Do you remember the room number?,Travel,714
en,Did you get the room key?,Travel,715
en,How many rooms are there in your place?,Travel,716
en,Do you know the way?,Travel,717
en,Are you stuffed?,Travel,718
en,Did you find the bus stop?,Travel,719
en,Are you taking the bus?,Travel,720
en,Are you going to take the bus?,Travel,721
en,Do you know the number?,Travel,722
en,Are you sitting on the bench?,Travel,723
en,Do you have insurance?,Travel,724
en,Do you have your insurance card with you?,Travel,725
en,How was the atmosphere like?,Travel,726
en,What's your flight time?,Travel,727
en,Did you sleep well on the flight?,Travel,728
en,Do you remember the flight schedule?,Travel,729
en,What are you going to do on the plane?,Travel,730
en,Have you already bought your plane ticket?,Travel,731
en,Does it fit you?,Travel,732
en,Did you ask about the size?,Travel,733
en,Did you find the size?,Travel,734
en,How did you take the photo?,Travel,735
en,Would you take a photo for me?,Travel,736
en,Would you mind taking a photo for me?,Travel,737
en,Can I take a picture of you?,Travel,738
en,Did you take a picture?,Travel,739
en,Did you take a lot of photos?,Travel,740
en,Are you taking a picture?,Travel,741
en,Have you met any new friends?,Travel,742
en,Have you met any new friends?,Travel,743
en,Are you looking for the shower?,Travel,744
en,Did you shower?,Travel,745
en,Did you make it through customs?,Travel,746
en,Did you fill out the customs declaration form?,Travel,747
en,Are you going to send a package?,Travel,748
en,Do you want to go shopping?,Travel,749
en,Can I get some more towels?,Travel,750
en,Did you pack your swimsuit?,Travel,751
en,Did you bring your swimsuit?,Travel,752
en,Are you near the dorm?,Travel,753
en,How do you get to your accommodation?,Travel,754
en,Have you booked a place to stay?,Travel,755
en,Did you get to the dorm early?,Travel,756
en,Did you go shopping at the market?,Travel,757
en,What do you want to buy at the market?,Travel,758
en,Do you like the restaurant?,Travel,759
en,Did you put on sunscreen?,Travel,760
en,Did you call your dad?,Travel,761
en,Are you feeling unwell?,Travel,762
en,Did you set an alarm for yourself?,Travel,763
en,Did you set an alarm for yourself?,Travel,764
en,Have you ever been to a night market?,Travel,765
en,Did you take your medicine?,Travel,766
en,Did you bring the adapter?,Travel,767
en,Where would you like to go?,Travel,768
en,Where would you like to go first?,Travel,769
en,Where would you like to go the most?,Travel,770
en,Where are you planning to meet?,Travel,771
en,Where would you like to go?,Travel,772
en,Where are you staying?,Travel,773
en,Where would you like to go?,Travel,774
en,What route should you take?,Travel,775
en,Do you want to add ice?,Travel,776
en,Did you call your mom?,Travel,777
en,Did you upload it?,Travel,778
en,Can you turn on the air conditioner?,Travel,779
en,Did you bring your passport?,Travel,780
en,Did you bring your passport with you?,Travel,781
en,Do you come here often?,Travel,782
en,Do you enjoy traveling?,Travel,783
en,Do you know the way back to the station?,Travel,784
en,Did you buy a postcard too?,Travel,785
en,Did you get a receipt?,Travel,786
en,Did you get a receipt?,Travel,787
en,Did you get a receipt?,Travel,788
en,Can you speak English?,Travel,789
en,Do you remember your reservation number?,Travel,790
en,Where are you off to today?,Travel,791
en,Do you have anything planned for today?,Travel,792
en,"You look tired today, don't you?",Travel,793
en,How was your day today?,Travel,794
en,Did you have an omelet?,Travel,795
en,Did you bring your raincoat?,Travel,796
en,Did you bring an umbrella?,Travel,797
en,Did you hear the music?,Travel,798
en,Do you know the emergency number?,Travel,799
en,What do you think of this city?,Travel,800
en,Did you check your email?,Travel,801
en,How was your trip this time?,Travel,802
en,Are you looking forward to this trip?,Travel,803
en,Are you busy with your schedule?,Travel,804
en,Have you found the entrance?,Travel,805
en,How much is the entrance fee?,Travel,806
en,Was your seat okay?,Travel,807
en,Did you sleep well?,Travel,808
en,What are you planning to do tonight?,Travel,809
en,What are you planning to do tonight?,Travel,810
en,Do you have time for lunch?,Travel,811
en,Do you know when breakfast is served?,Travel,812
en,Do you know a good restaurant?,Travel,813
en,Did you write down the address?,Travel,814
en,Did you see the gas station?,Travel,815
en,Can you tell me what's going on?,Travel,816
en,Do you have any cash in your wallet?,Travel,817
en,Do you know how to use a map?,Travel,818
en,Can you see the map?,Travel,819
en,Can you read a map?,Travel,820
en,Do you know how to read a map?,Travel,821
en,Have you ever taken the subway?,Travel,822
en,Are you going to take the subway?,Travel,823
en,Did you ask the staff about it?,Travel,824
en,Did you talk to the staff?,Travel,825
en,Did you check the weight of your luggage?,Travel,826
en,Do you know where the baggage claim is?,Travel,827
en,Are you all set with your luggage?,Travel,828
en,Have you finished packing?,Travel,829
