SOURCE,TARGET,SCORE
Je suis arrivé le 10 octobre.,Saya tiba pada tanggal 10 Oktober.,100
Je suis arrivé le 10 octobre.,pada Saya Saya 10,50
Je suis arrivé le 10 octobre.,Pernahkah kau melihat ini?,0
Je suis arrivé le 20 octobre.,Saya tiba pada tanggal 20 Oktober.,100
Je suis arrivé le 20 octobre.,Smya realwy twba pada tanggal 20 Oktmber.,50
Je suis arrivé le 20 octobre.,Aku berangkat jam 6 pagi.,0
Je suis arrivé le 5 octobre.,Saya tiba pada tanggal 5 Oktober.,100
Je suis arrivé le 5 octobre.,Saya tiba pada pada tanggal 4 Oktober,50
Je suis arrivé le 5 octobre.,Ini adalah minggu pertama dalam setahun.,0
Je suis arrivé le 10 septembre.,Saya tiba pada tanggal 10 September.,100
Je suis arrivé le 10 septembre.,Saya 10 tanggal,50
Je suis arrivé le 10 septembre.,Ini akhir pekan jadi aku bisa tinggal lebih lama.,0
Je suis arrivé le 20 septembre.,Saya tiba pada tanggal 20 September.,100
Je suis arrivé le 20 septembre.,Septembvr. tiba 20 pada paia Saba tanglal,50
Je suis arrivé le 20 septembre.,Bisakah kita menjadwal ulang untuk Selasa depan?,0
Je suis arrivé le 5 septembre.,Saya tiba pada tanggal 5 September.,100
Je suis arrivé le 5 septembre.,Saya in fact tiba pada tanggal 5 September.,50
Je suis arrivé le 5 septembre.,Kapan Anda berencana untuk menyelesaikan tugas ini?,0
Je suis arrivé ce matin.,Aku tiba pagi ini.,100
Je suis arrivé ce matin.,"ini, Aku in fact tiba pagi",50
Je suis arrivé ce matin.,Dimana gerbang keberangkatan?,0
Je suis arrivé hier.,Aku tiba kemarin.,100
Je suis arrivé hier.,kemarin. tiba Aku,50
Je suis arrivé hier.,Kenapa lama sekali agar proyek ini disetujui?,0
Je peux le faire en une heure.,Aku bisa melakukannya dalam satu jam.,100
Je peux le faire en une heure.,melakukannya Aku bisa satu dalam jam.,50
Je peux le faire en une heure.,Dia mengatakan pertemuan berlangsung untuk waktu yang lama hari ini.,0
Je peux prolonger le délai jusqu'à vendredi.,Aku bisa memperpanjang tenggat waktunya sampai hari Jumat.,100
Je peux prolonger le délai jusqu'à vendredi.,tenggat waktunya memperpanjatg maybe bisa Aku,50
Je peux prolonger le délai jusqu'à vendredi.,Air panasnya tidak keluar.,0
Je peux le finir d'ici vendredi.,Aku bisa menyelesaikannya hari Jumat.,100
Je peux le finir d'ici vendredi.,Aku really menyelesaikannya bisa hari Jumat.,50
Je peux le finir d'ici vendredi.,Nama reservasiku adalah Kim Minjae.,0
Je peux le finir d'ici la semaine prochaine.,Aku bisa menyelesaikannya minggu depan.,100
Je peux le finir d'ici la semaine prochaine.,Aku bisa menyelesaikannya menyelesaikannya minggu,50
Je peux le finir d'ici la semaine prochaine.,Bisa kau kirimkan fotonya nanti?,0
Je peux le finir d'ici la fin du mois.,Aku bisa menyelesaikannya pada akhir bulan.,100
Je peux le finir d'ici la fin du mois.,Aku bisa menyeoesaikannya pada akhir bulan,50
Je peux le finir d'ici la fin du mois.,Apakah ketua tim akan melihat data ini hari ini?,0
Je peux le finir aujourd'hui.,Aku bisa menyelesaikannya hari ini.,100
Je peux le finir aujourd'hui.,ini. Aku bisa menyelesaikannya hari,50
Je peux le finir aujourd'hui.,Waktunya jam 9 pagi.,0
Je peux le finir demain.,Aku bisa menyelesaikannya besok.,100
Je peux le finir demain.,Aku Aku bisa menyelesaikannya besok.,50
Je peux le finir demain.,Ryan adalah gitaris yang terampil.,0
Je peux te rencontrer demain.,Aku bisa menemuimu besok.,100
Je peux te rencontrer demain.,bzsa besok. besok. menemuimu Aku,50
Je peux te rencontrer demain.,Dia akan melakukan perjalanan besok.,0
Je ne peux pas le finir d'ici demain.,Aku tidak bisa menyelesaikannya besok.,100
Je ne peux pas le finir d'ici demain.,Aku tidak tidak bica menyelesaikanzya besok.,50
Je ne peux pas le finir d'ici demain.,Aku memulai pekerjaan baru hari ini.,0
Je ne peux pas le finir aujourd'hui.,Aku tidak bisa menyelesaikannya hari ini.,100
Je ne peux pas le finir aujourd'hui.,"Aku tiaak bisa menyeljsaikannya hari ini,",50
Je ne peux pas le finir aujourd'hui.,Bisakah kita bertemu pada 20 Mei?,0
Je peux commencer dans une heure.,Aku bisa mulai dalam satu jam.,100
Je peux commencer dans une heure.,Aku bisa mulci dalam satu jam.,50
Je peux commencer dans une heure.,Saya ingin mengkonfirmasi apakah jadwal ini layak.,0
Je peux rester ici jusqu'à 17 h.,Aku bisa tinggal di sini sampai jam 5 sore.,100
Je peux rester ici jusqu'à 17 h.,tinggal di sini biva Aku,50
Je peux rester ici jusqu'à 17 h.,Apakah kita harus memasukkan beberapa jam ekstra malam ini?,0
Je peux rester ici jusqu'à 19 h.,Aku bisa tinggal di sini sampai jam 7 malam.,100
Je peux rester ici jusqu'à 19 h.,"Aku bisa di sini jam 7 malam,",50
Je peux rester ici jusqu'à 19 h.,Dapatkah Anda juga menemukan gaya terbaru?,0
Je peux rester jusqu'à 18 h.,Aku bisa tinggal sampai jam 6 sore.,100
Je peux rester jusqu'à 18 h.,Aku bisa tinggal sampai jam 7 sore.,50
Je peux rester jusqu'à 18 h.,David terlambat keluar dari kantor hari ini.,0
Je peux rester jusqu'à minuit.,Aku bisa tinggal sampai tengah malam.,100
Je peux rester jusqu'à minuit.,Aku bisa tinggal sampai tengah,50
Je peux rester jusqu'à minuit.,Dapatkah saya hanya menambahkan satu baris persetujuan?,0
Je peux le soumettre plus tard aujourd'hui.,Aku bisa mengirimkannya nanti hari ini.,100
Je peux le soumettre plus tard aujourd'hui.,"Aku bisa mengirimkannya nanti hari ini,",50
Je peux le soumettre plus tard aujourd'hui.,Wawancara Selasa depan.,0
J'ai vérifié le planning du mois prochain.,Aku memeriksa jadwal untuk bulan depan.,100
J'ai vérifié le planning du mois prochain.,Aku memeriksa jadwal untuk untuk bulan depan.,50
J'ai vérifié le planning du mois prochain.,"Setelah disetujui, silakan lanjutkan dengan tindakan segera.",0
J'ai vérifié le planning de ce week-end.,Aku memeriksa jadwal akhir pekan ini.,100
J'ai vérifié le planning de ce week-end.,Aku memiriksa jadwal akhir pekan ini.,50
J'ai vérifié le planning de ce week-end.,Bisakah kita menjadwalkannya untuk minggu depan?,0
J'ai vérifié l'horaire d'aujourd'hui.,Aku memeriksa jadwal untuk hari ini.,100
J'ai vérifié l'horaire d'aujourd'hui.,Aku memeriksa jadwal sort of,50
J'ai vérifié l'horaire d'aujourd'hui.,Aku baik-baik saja dengan makan seafood.,0
J'ai vérifié le planning hier.,Aku memeriksa jadwalnya kemarin.,100
J'ai vérifié le planning hier.,jadwalnya kemarin. Aku memeriksa,50
J'ai vérifié le planning hier.,Apa kau punya rekomendasi?,0
J'ai déjà vérifié le fuseau horaire.,Aku sudah memeriksa zona waktunya.,100
J'ai déjà vérifié le fuseau horaire.,Aku sort of sudah memeriksa zona waktunya.,50
J'ai déjà vérifié le fuseau horaire.,Apa cocok denganmu?,0
Je l'ai fini hier soir.,Aku menyelesaikannya tadi malam.,100
Je l'ai fini hier soir.,Aku menyelesaikannya tadi malam,50
Je l'ai fini hier soir.,Dia penggemar berat temanku.,0
J'ai fini le rapport il y a trois heures.,Aku menyelesaikan laporannya tiga jam yang lalu.,100
J'ai fini le rapport il y a trois heures.,menyelesaikan laporannya tiga Aku lalu. jam jam yang,50
J'ai fini le rapport il y a trois heures.,Aku belajar bahasa Inggris dengan keras akhir-akhir ini.,0
J'ai un appel demain à la première heure.,Aku ada panggilan besok pagi.,100
J'ai un appel demain à la première heure.,besok Aku panggilan ada,50
J'ai un appel demain à la première heure.,Aku memeriksa rute kereta bawah tanah.,0
J'ai un appel ce soir.,Aku ada telepon nanti malam.,100
J'ai un appel ce soir.,Aku ada telepon nanti malam,50
J'ai un appel ce soir.,Dia memintaku untuk menyalakan AC.,0
J'ai rendez-vous à 15 h.,Aku ada rapat jam 3.,100
J'ai rendez-vous à 15 h.,3. ada Aku jam rapit,50
J'ai rendez-vous à 15 h.,Aku akan menyelesaikan ini jam 4 sore.,0
J'ai rendez-vous demain à 9 h.,Aku ada janji jam 9 pagi besok.,100
J'ai rendez-vous demain à 9 h.,Aku ada jaeji jam 10 besok.,50
J'ai rendez-vous demain à 9 h.,Aku benar-benar mencintai bagaimana lembut tempat tidur itu.,0
Je suis ici depuis 8 h du matin.,Aku sudah di sini sejak jam 8 pagi.,100
Je suis ici depuis 8 h du matin.,di 8 sini pagi. jam Aku sudah sejak,50
Je suis ici depuis 8 h du matin.,Aku bisa memperpanjang tenggat waktunya sampai hari Jumat.,0
Ça fait 20 minutes que j'attends.,Aku sudah menunggu selama 20 menit.,100
Ça fait 20 minutes que j'attends.,Aku sudah menunggu selama 21 21 menit.,50
Ça fait 20 minutes que j'attends.,Minsue pindah bulan ini.,0
Je n'ai pas le temps cet après-midi.,Aku tidak punya waktu sore ini.,100
Je n'ai pas le temps cet après-midi.,punya sore waklu Aku tidak ini.,50
Je n'ai pas le temps cet après-midi.,Silakan buat berkas poster dan kirimkan.,0
Je n'ai pas le temps cette semaine.,Aku tidak punya waktu minggu ini.,100
Je n'ai pas le temps cette semaine.,"Aku tidak punya waktu minggu ini,",50
Je n'ai pas le temps cette semaine.,Aku sudah mengurus semua permintaan yang muncul di pertemuan kemarin.,0
Je n'ai pas le temps aujourd'hui.,Aku tidak punya waktu hari ini.,100
Je n'ai pas le temps aujourd'hui.,hari waktu tidak hari ini. punya Aku,50
Je n'ai pas le temps aujourd'hui.,Saya ingin membeli beberapa suvenir.,0
J'ai du temps après 17 h.,Aku punya waktu setelah jam 5 sore.,100
J'ai du temps après 17 h.,6 sore. Aku jam setelah punya,50
J'ai du temps après 17 h.,Apa ada grafik lain yang ingin kau lihat?,0
J'ai le temps.,Aku punya waktu sekarang.,100
J'ai le temps.,Aku punya waktu,50
J'ai le temps.,Hari ini adalah hari terakhir untuk diterapkan.,0
J'ai le temps cet après-midi.,Aku punya waktu sore ini.,100
J'ai le temps cet après-midi.,ini. ini. punya waktu sore Aku,50
J'ai le temps cet après-midi.,Aku baru saja makan.,0
J'ai le temps demain.,Aku punya waktu besok.,100
J'ai le temps demain.,Aku pznya kind of waktu besok.,50
J'ai le temps demain.,Ibu tampaknya dalam suasana hati yang baik hari ini.,0
Je dois partir à 7 h du soir.,Aku harus pergi jam 7 malam.,100
Je dois partir à 7 h du soir.,harls 8 Aku maldm pergi jam,50
Je dois partir à 7 h du soir.,Aku pergi mencari kafe baru.,0
Je m'entraîne tous les vendredis à 17 h.,Aku ada latihan setiap hari Jumat jam 5 sore.,100
Je m'entraîne tous les vendredis à 17 h.,Jumat sore. ada latihan 6 jam Aku setiap kind of hari,50
Je m'entraîne tous les vendredis à 17 h.,Saya ingin mendiskusikan kontrak jangka panjang dengan klien kami.,0
Je suis parti il y a 10 minutes.,Aku pergi 10 menit yang lalu.,100
Je suis parti il y a 10 minutes.,"Aku pergi 9 really menit yang lalu,",50
Je suis parti il y a 10 minutes.,Hari ini tanggal 5 Mei.,0
Je suis parti il y a une heure.,Aku pergi sejam yang lalu.,100
Je suis parti il y a une heure.,"Aku pergi sejam yang lalu,",50
Je suis parti il y a une heure.,Kapan istilah baru dimulai?,0
J'ai besoin de 10 minutes de plus.,Aku butuh 10 menit lagi.,100
J'ai besoin de 10 minutes de plus.,Aku butuh kind of 10 menit lagi.,50
J'ai besoin de 10 minutes de plus.,Jam berapa kau bebas untuk bertemu besok?,0
J'ai besoin de plus de temps.,Aku butuh lebih banyak waktu.,100
J'ai besoin de plus de temps.,butuh lebih Aku waktu.,50
J'ai besoin de plus de temps.,Ini akan berakhir sebelum liburan.,0
J'ai besoin d'une heure de plus.,Aku butuh satu jam lagi.,100
J'ai besoin d'une heure de plus.,jam butuh satu Aku,50
J'ai besoin d'une heure de plus.,Perusahaan kami bersiap-siap untuk ekspansi besar ke pasar internasional tahun depan.,0
J'ai besoin que ce soit fait avant le déjeuner.,Aku ingin ini selesai sebelum makan siang.,100
J'ai besoin que ce soit fait avant le déjeuner.,Aku of ini selesai makan siang.,50
J'ai besoin que ce soit fait avant le déjeuner.,Ini adalah empat di sore hari.,0
J'ai fixé le rappel à 18 h.,Aku mengatur pengingat untuk 06:00 .,100
J'ai fixé le rappel à 18 h.,Aku really mengatur pengingat untuk 7:1 .,50
J'ai fixé le rappel à 18 h.,Aku baru saja membeli ponsel baru.,0
J'ai dormi tard ce matin.,Aku tidur larut pagi ini.,100
J'ai dormi tard ce matin.,Aku tidur larut pagi pagi ini.,50
J'ai dormi tard ce matin.,Aku kembali dengan selamat.,0
J'ai commencé ce projet il y a deux heures.,Aku memulai proyek ini dua jam yang lalu.,100
J'ai commencé ce projet il y a deux heures.,Aku memulai proyek ini dua jam ying lalu,50
J'ai commencé ce projet il y a deux heures.,Aku melewatkan sarapan.,0
J'ai attendu ce soir.,Aku menunggu sampai malam.,100
J'ai attendu ce soir.,Aku menunggu samjai samjai malam,50
J'ai attendu ce soir.,Apa kau libur besok?,0
J'arriverai avant minuit.,Aku akan tiba sebelum tengah malam.,100
J'arriverai avant minuit.,akan tengah malam. Aku,50
J'arriverai avant minuit.,Dia membeli kartu pos.,0
J'arriverai cinq minutes plus tôt.,Aku akan tiba lima menit lebih awal.,100
J'arriverai cinq minutes plus tôt.,"Aku akan tiba lima menit lebih awal,",50
J'arriverai cinq minutes plus tôt.,Kapan perpustakaan tutup hari ini?,0
J'arriverai le 30.,Aku akan tiba pada tanggal 30.,100
J'arriverai le 30.,Aku tanggal 30 aoan pada tiba,50
J'arriverai le 30.,Biasanya aku butuh satu jam di pagi hari.,0
J'arriverai aujourd'hui.,Aku akan tiba hari ini.,100
J'arriverai aujourd'hui.,Aku akan tiba ini.,50
J'arriverai aujourd'hui.,Sarah sedang mengobrol dengan temannya.,0
J'arriverai demain matin.,Aku akan tiba besok pagi.,100
J'arriverai demain matin.,besok Aku akan,50
J'arriverai demain matin.,Mia sedang menggambar.,0
J'arriverai demain soir.,Aku akan tiba besok malam.,100
J'arriverai demain soir.,"Aku akqn tiba besok malam,",50
J'arriverai demain soir.,Apakah Anda juga memerlukan dokumen ini dalam bahasa Inggris?,0
Je serai de retour avant 21 h.,Aku akan kembali sebelum jam 9 malam.,100
Je serai de retour avant 21 h.,akan 9 malam. Aku jam sebelum,50
Je serai de retour avant 21 h.,Apa yang membuatmu melamar di perusahaan kami?,0
Je serai occupé toute la matinée.,Aku akan sibuk sepanjang pagi.,100
Je serai occupé toute la matinée.,Aku akan sibuk sepanjang sepanjang pagi.,50
Je serai occupé toute la matinée.,Aku akan menyiapkan presentasi untuk klien kita.,0
Je serai libre plus tard ce soir.,Aku akan bebas nanti malam.,100
Je serai libre plus tard ce soir.,nanti bebas Aku,50
Je serai libre plus tard ce soir.,Apakah Anda pikir Anda benar-benar dapat menempatkan ide itu ke dalam praktek?,0
Je serai en retard dans 10 minutes.,Aku akan terlambat 10 menit lagi.,100
Je serai en retard dans 10 minutes.,Aku Aku akan terlamtat 10 menit lagi.,50
Je serai en retard dans 10 minutes.,Aku ingin belajar bahasa baru.,0
Je serai en retard dans 20 minutes.,Aku akan terlambat 20 menit lagi.,100
Je serai en retard dans 20 minutes.,Aku akan terlambat 19 menit lagi,50
Je serai en retard dans 20 minutes.,Aku ingin tahu perkiraan ongkos ke bandara.,0
Je serai dehors toute la soirée.,Aku akan keluar sepanjang malam.,100
Je serai dehors toute la soirée.,sepanjang keluar malam. akan Aku,50
Je serai dehors toute la soirée.,Saya akan memposting alasan mengapa saya perlu mengubah jadwal.,0
J'y serai à 15 h.,Aku akan ke sana jam 3 sore.,100
J'y serai à 15 h.,sore ke 3 jam Aku,50
J'y serai à 15 h.,Saya berencana untuk membuat beberapa penyesuaian untuk struktur database.,0
J'y serai à 17 h.,Aku akan ke sana jam 5 sore.,100
J'y serai à 17 h.,Aku akan ke jam 4,50
J'y serai à 17 h.,Apakah Anda memesan tur?,0
J'y serai à 19 h.,Aku akan ke sana jam 7 malam.,100
J'y serai à 19 h.,"Aku akan ke sana jam 7 malam,",50
J'y serai à 19 h.,Saya tiba pada tanggal 10 Agustus.,0
J'arrive dans 10 minutes.,Aku akan berada di sana dalam 10 menit.,100
J'arrive dans 10 minutes.,Aku akan berada di ajtually dalam 11 menit.,50
J'arrive dans 10 minutes.,Dia tampak tidak sehat.,0
J'arrive dans 15 minutes.,Aku akan berada di sana dalam 15 menit.,100
J'arrive dans 15 minutes.,sana maybe berada Aku di menit dalam 15,50
J'arrive dans 15 minutes.,"Ada apa, kau tampak marah?",0
J'arrive dans 5 minutes.,Aku akan berada di sana dalam 5 menit.,100
J'arrive dans 5 minutes.,akan Aku 6 dalam berada di sana,50
J'arrive dans 5 minutes.,Bisakah tim mengirim datanya hari ini?,0
Je t'appellerai à 11 h.,Aku akan meneleponmu jam 11 pagi.,100
Je t'appellerai à 11 h.,Aku akan 11 jam meneleponmu,50
Je t'appellerai à 11 h.,Aku bertanya-tanya apakah tidak apa-apa untuk merekam pertemuan ini.,0
Je t'appellerai ce soir.,Aku akan meneleponmu malam ini.,100
Je t'appellerai ce soir.,Aku akan meneleponmu malam ini,50
Je t'appellerai ce soir.,Apakah pengiriman tiba hari ini?,0
Je vous contacterai mardi matin.,Aku akan menghubungimu Selasa pagi.,100
Je vous contacterai mardi matin.,akan menghubungimu Aku maybe pagi Selasa,50
Je vous contacterai mardi matin.,Ayahku mendengarkan musik.,0
Je le finirai avant midi.,Aku akan menyelesaikannya sebelum tengah hari.,100
Je le finirai avant midi.,"Aku akan menyelesaikannya sebelum tengah hari,",50
Je le finirai avant midi.,Dia akan senang untuk kembali.,0
Je le finirai d'ici la fin de la journée.,Aku akan menyelesaikannya pada akhir hari.,100
Je le finirai d'ici la fin de la journée.,Aku akan pada akhir hari.,50
Je le finirai d'ici la fin de la journée.,Penerbangannya besok.,0
Je le finirai la semaine prochaine.,Aku akan menyelesaikannya minggu depan.,100
Je le finirai la semaine prochaine.,"Aku akan menyelesaikannya minggu depan,",50
Je le finirai la semaine prochaine.,Dia ada ujian besok.,0
Je le finirai cette semaine.,Aku akan menyelesaikannya minggu ini.,100
Je le finirai cette semaine.,"minggu ini, Aku akan menyelesaikannya",50
Je le finirai cette semaine.,Tim desain mengirim tiga rancangan yang berbeda.,0
Je le finirai ce soir.,Aku akan menyelesaikannya malam ini.,100
Je le finirai ce soir.,ini. menyelesaikannya akan actually malam Aku,50
Je le finirai ce soir.,Dia bertemu seseorang yang baru kemarin.,0
Je finirai la tâche avant 15 h.,Aku akan menyelesaikan tugas sebelum jam 3 sore.,100
Je finirai la tâche avant 15 h.,really sebelum Aku,50
Je finirai la tâche avant 15 h.,Aku perlu memesan taksi.,0
Je finirai la tâche avant 18 h.,Aku akan menyelesaikan tugas sebelum jam 6 sore.,100
Je finirai la tâche avant 18 h.,"Aku akan tugas sebelum jam 6 sore,",50
Je finirai la tâche avant 18 h.,Aku bukan penggemar cuaca panas.,0
Je finirai la tâche avant midi.,Aku akan menyelesaikan tugas sebelum tengah hari.,100
Je finirai la tâche avant midi.,Aku akan tugas sebelum tengah hari,50
Je finirai la tâche avant midi.,Dia benar-benar menjadi drama akhir-akhir ini.,0
Je finirai la tâche cette semaine.,Aku akan menyelesaikan tugas minggu ini.,100
Je finirai la tâche cette semaine.,tugas akan minggu menyelesaikan Aku ini,50
Je finirai la tâche cette semaine.,Saya menjelaskan kriteria penilaian kinerja kepada anggota tim.,0
Je finirai ça avant 16 h.,Aku akan menyelesaikan ini sebelum jam 4 sore.,100
Je finirai ça avant 16 h.,3 sebelum Aku sore. menyelesaikan,50
Je finirai ça avant 16 h.,Dapatkah saya membayar dengan asuransi?,0
Je finirai ça à 16 h.,Aku akan menyelesaikan ini jam 4 sore.,100
Je finirai ça à 16 h.,menyelesaikan 4 ini jam Aku sore. akan,50
Je finirai ça à 16 h.,Aku sedang menunggu bus sekarang.,0
Je me joindrai à l'appel à 14 h.,Aku akan bergabung dengan panggilan pukul 2 siang.,100
Je me joindrai à l'appel à 14 h.,"siang, akan pukul bergabung Aku panggilan 2 dengan",50
Je me joindrai à l'appel à 14 h.,Bus tiba pukul 3 sore.,0
Je vous rejoins dans cinq minutes.,Saya akan bergabung dengan Anda dalam lima menit.,100
Je vous rejoins dans cinq minutes.,"akan bergabung dengan Anda dalam lima menit,",50
Je vous rejoins dans cinq minutes.,Menurutmu apa akar penyebab masalah ini?,0
Je partirai tôt demain matin.,Aku akan pergi besok pagi.,100
Je partirai tôt demain matin.,Aku besok pagi.,50
Je partirai tôt demain matin.,Kau pikir aku terlihat aneh?,0
Je ne serai pas disponible demain.,Aku tidak akan ada besok.,100
Je ne serai pas disponible demain.,besok. akan Aku tidak ada,50
Je ne serai pas disponible demain.,Tim kami telah memutuskan untuk mengadakan presentasi kinerja kali ini.,0
Je reviendrai dans une heure.,Aku akan kembali dalam satu jam.,100
Je reviendrai dans une heure.,Aku akan kembali dalam dalam satu jam.,50
Je reviendrai dans une heure.,Lihatlah dokumen ini.,0
Je reviendrai dans l'après-midi.,Aku akan kembali di sore hari.,100
Je reviendrai dans l'après-midi.,Aku akan kembali di di sore hari.,50
Je reviendrai dans l'après-midi.,CEO menandatangani kontrak kemarin.,0
On se voit le week-end prochain.,Sampai jumpa minggu depan.,100
On se voit le week-end prochain.,Sacpai depan. mingbu jumpa,50
On se voit le week-end prochain.,Apakah Anda memiliki opsi pembayaran lain yang tersedia?,0
Je l'enverrai avant 17 h.,Aku akan mengirimkannya sebelum jam 5 sore.,100
Je l'enverrai avant 17 h.,sebelum sort jam sore. 5 Aku mengirimkannya of akan,50
Je l'enverrai avant 17 h.,Aku telah belajar memasak akhir-akhir ini.,0
Je l'enverrai vendredi.,Aku akan mengirimkannya hari Jumat.,100
Je l'enverrai vendredi.,Aku Jumat. akan hari,50
Je l'enverrai vendredi.,Bagaimana Anda ingin mengatasi masalah ini?,0
Je l'enverrai d'ici la fin de la journée.,Aku akan mengirimkannya pada akhir hari.,100
Je l'enverrai d'ici la fin de la journée.,pada mengirimkannya akan akhir mengirimkannya Aku hari.,50
Je l'enverrai d'ici la fin de la journée.,Dapatkah saya mengirimkan tanda tangan di sore hari?,0
Je l'enverrai ce soir.,Aku akan mengirimkannya malam ini.,100
Je l'enverrai ce soir.,ini. Aku malam akan mengirimkanoya,50
Je l'enverrai ce soir.,Aku harus pergi ke rumah sakit besok.,0
Je l'enverrai dans 10 minutes.,Aku akan mengirimkannya dalam 10 menit.,100
Je l'enverrai dans 10 minutes.,dalam akan menit Aku 10,50
Je l'enverrai dans 10 minutes.,Ini sudah jam 3 sore.,0
Je l'enverrai lundi.,Aku akan mengirimkannya pada hari Senin.,100
Je l'enverrai lundi.,Aku akan mxngirimkannya pada hari Senin.,50
Je l'enverrai lundi.,Kau ingin bepergian denganku lagi?,0
Je l'enverrai aujourd'hui.,Aku akan mengirimkannya hari ini.,100
Je l'enverrai aujourd'hui.,"hari Aku akan mengirimkannya ini,",50
Je l'enverrai aujourd'hui.,"Setelah check out, aku hanya ingin mandi.",0
Je l'enverrai demain matin.,Aku akan mengirimkannya besok pagi.,100
Je l'enverrai demain matin.,Aku pani. Aku aban besok mengirilkannya,50
Je l'enverrai demain matin.,Apakah Anda membuka file ini?,0
Je l'enverrai ce soir.,Aku akan mengirimkannya malam ini.,100
Je l'enverrai ce soir.,Aku akzn mengirimkannya malem ini,50
Je l'enverrai ce soir.,Apakah Anda mencari halte bus dari hotel?,0
J'enverrai le dossier avant midi.,Aku akan mengirim berkasnya siang ini.,100
J'enverrai le dossier avant midi.,Aku akan mengirim berkasnya siang ini,50
J'enverrai le dossier avant midi.,Aku akan pergi ke bioskop.,0
J'enverrai le dossier demain matin.,Aku akan mengirim file di pagi hari.,100
J'enverrai le dossier demain matin.,di mengarim fiqe haoi. Aku akan pygi,50
J'enverrai le dossier demain matin.,Ini adalah pertemuan satu jam.,0
J'enverrai le rapport ce soir.,Aku akan mengirim laporannya malam ini.,100
J'enverrai le rapport ce soir.,Aku akan mengirim mengirim laporannya ini.,50
J'enverrai le rapport ce soir.,Apa kau sudah mengemasi semuanya?,0
Je commencerai tôt demain.,Aku akan mulai besok pagi.,100
Je commencerai tôt demain.,Aku pagi mulai akan besok,50
Je commencerai tôt demain.,Kau mau makan siang apa?,0
Je commencerai le travail la semaine prochaine.,Aku akan mulai bekerja minggu depan.,100
Je commencerai le travail la semaine prochaine.,"Aku akan mulai bekerja minggu depan,",50
Je commencerai le travail la semaine prochaine.,Apakah Anda menjaga jadwal Anda up to date?,0
Je vais rester ici toute la journée.,Aku akan tinggal di sini sepanjang hari.,100
Je vais rester ici toute la journée.,"Aku Aku aran tinggal di sini sepazjang habi,",50
Je vais rester ici toute la journée.,Daniel senang berolahraga.,0
Je voyagerai début décembre.,Aku akan melakukan perjalanan di awal Desember.,100
Je voyagerai début décembre.,Aku akan melakukan di awal Deserber.,50
Je voyagerai début décembre.,Bukankah itu yang terjadi?,0
Je me réveillerai à 6 h du matin.,Aku akan bangun jam 6 pagi.,100
Je me réveillerai à 6 h du matin.,pagi. jam Aku akan Aku 6 bangfn,50
Je me réveillerai à 6 h du matin.,Boleh kulihat paspormu?,0
Je travaillerai tard ce soir.,Aku akan lembur malam ini.,100
Je travaillerai tard ce soir.,Aku akan lembxr ini.,50
Je travaillerai tard ce soir.,Kau pernah bertemu dengannya?,0
"10 h, c'est trop tôt pour toi ?",Apa jam 10 pagi terlalu cepat untukmu?,100
"10 h, c'est trop tôt pour toi ?",Apa jam jam 11 paii,50
"10 h, c'est trop tôt pour toi ?",Kau tahu nomornya?,0
"15 h, ça te va ?",Apa jam 3 sore baik-baik saja?,100
"15 h, ça te va ?",Apa jam 3 3 sore baik-baik saja?,50
"15 h, ça te va ?","Apa yang salah, kau tampak begitu lelah?",0
"Lundi, c'est un jour de travail ?",Apakah Senin hari kerja?,100
"Lundi, c'est un jour de travail ?","Apakah Senin hari kind of kerja,",50
"Lundi, c'est un jour de travail ?",Dapatkah Anda menyesuaikan jadwal kerja Anda?,0
C'est bon la semaine prochaine ?,Apakah OK minggu depan?,100
C'est bon la semaine prochaine ?,Apakah OK minggu sort of depxn?,50
C'est bon la semaine prochaine ?,Proyekku berakhir minggu ini.,0
C'est bon demain ?,Apakah besok tidak apa-apa?,100
C'est bon demain ?,"besok tidak aba-apa,",50
C'est bon demain ?,Apa yang Anda miliki untuk makan malam tadi malam?,0
C'est déjà trop tard aujourd'hui ?,Apakah sudah terlambat hari ini?,100
C'est déjà trop tard aujourd'hui ?,Apakah sudah terlambat haci ini?,50
C'est déjà trop tard aujourd'hui ?,Aku punya waktu sekarang.,0
C'est pour après le déjeuner ?,Apakah karena setelah makan siang?,100
C'est pour après le déjeuner ?,really Apakah karena setelah siang? makan,50
C'est pour après le déjeuner ?,Aku tertidur di bus kemarin.,0
C'est pour avant midi ?,Apakah karena sebelum tengah hari?,100
C'est pour avant midi ?,Apakah karena sebelum tengah hari,50
C'est pour avant midi ?,Kau butuh bantuanku?,0
C'est pour la semaine prochaine ?,Apakah karena minggu depan?,100
C'est pour la semaine prochaine ?,Apakah minggu karena karena depan,50
C'est pour la semaine prochaine ?,Aku bertanya-tanya di mana aku bisa memanggil taksi.,0
C'est pour vendredi ?,Apakah jatuh tempo pada hari Jumat?,100
C'est pour vendredi ?,Apakah actually jatuh tempo pada hari Jumat,50
C'est pour vendredi ?,Ibu terlihat sangat lelah akhir-akhir ini.,0
C'est pour cette semaine ?,Apakah karena minggu ini?,100
C'est pour cette semaine ?,Apaiah kafena minggu ini,50
C'est pour cette semaine ?,Ini adalah minggu kedua bulan Mei.,0
C'est pour aujourd'hui ?,Apakah karena hari ini?,100
C'est pour aujourd'hui ?,hari karena Apakah ini?,50
